% LIQUIDITY FACTORS OF PASTOR AND STAMBAUGH (JPE 2003) UPDATED THROUGH DEC 2024
% Column 1: Month
% Column 2: Levels of aggregated liquidity (Figure 1 in the paper)
% Column 3: Innovations in aggregated liquidity (non-traded liquidity factor; equation(8); the main series)
% Column 4: Traded liquidity factor (LIQ_V, 10-1 portfolio return)
% Note: The traded factor is the value-weighted return on the 10-1 portfolio from a sort on historical
% liquidity betas. This procedure is simpler than sorting on predicted betas (as in the original study)
% and through 2024 it is similarly successful at creating a spread in post-ranking betas. The traded
% factor has a positive and significant alpha through 2024, consistent with liquidity risk being priced.
%
% Month	Agg Liq.	Innov Liq (eq8)	Traded Liq (LIQ_V)
198412	 -0.03602564	 -0.00293500	 -0.00023396	
198501	 -0.00841324	  0.01675097	 -0.01660344	
198502	 -0.01040315	  0.00595844	  0.02277367	
198503	  0.00593392	  0.00411442	  0.03882319	
198504	  0.01006849	  0.03082114	  0.03804409	
198505	  0.00000677	  0.02332418	 -0.00808688	
198506	 -0.00496640	 -0.00175029	  0.00855668	
198507	 -0.02202200	  0.02405947	 -0.01828073	
198508	  0.02641898	  0.03254002	  0.02600935	
198509	 -0.01917228	 -0.00789879	  0.01085101	
198510	 -0.01874444	 -0.01377034	  0.05068405	
198511	 -0.00196966	  0.02734279	  0.00714591	
198512	 -0.01579079	  0.02392897	 -0.01941905	
198601	 -0.06592515	 -0.03694624	  0.01882153	
198602	 -0.00938448	  0.01963639	  0.00280428	
198603	  0.00792626	  0.04381430	  0.03946652	
198604	  0.02937072	  0.02427098	 -0.00513904	
198605	  0.00463582	  0.02041812	  0.02732007	
198606	 -0.06956802	 -0.06325258	  0.05863968	
198607	 -0.00237977	  0.01916146	 -0.01490146	
198608	 -0.02734166	  0.01202543	 -0.02610917	
198609	 -0.00466824	 -0.02434208	  0.04365573	
198610	  0.03939260	  0.06363569	  0.01596314	
198611	  0.01677837	  0.02292907	 -0.03037115	
198612	  0.01118096	  0.03407550	 -0.01180831	
198701	 -0.02911501	 -0.00890745	 -0.07334350	
198702	  0.00529227	  0.02572475	 -0.04018167	
198703	 -0.02361702	  0.01707281	 -0.01323575	
198704	 -0.12662749	 -0.10931502	 -0.03988962	
198705	  0.00544621	  0.03038605	  0.01258425	
198706	  0.00750473	  0.05584150	  0.02582911	
198707	  0.01877447	 -0.02512271	  0.00803324	
198708	 -0.00003515	  0.01452310	 -0.05904169	
198709	 -0.04182038	 -0.05444055	  0.00162348	
198710	 -0.46169773	 -0.39179126	  0.05431057	
198711	 -0.02515845	 -0.07692125	 -0.01692999	
198712	 -0.10552480	 -0.03155346	  0.00835925	
198801	 -0.11083843	 -0.07697417	  0.04415469	
198802	 -0.03348581	  0.06027895	  0.00330430	
198803	 -0.03029858	  0.02426861	 -0.01998427	
198804	  0.00880543	  0.02854311	 -0.02541647	
198805	 -0.06855347	 -0.00107278	 -0.00520483	
198806	  0.00688993	  0.01856341	 -0.00962875	
198807	  0.01712411	  0.03261986	 -0.00893175	
198808	 -0.02484266	  0.02774012	  0.03565788	
198809	 -0.02317842	  0.00116078	  0.01488299	
198810	 -0.04267395	  0.00318721	  0.02375891	
198811	 -0.06681857	 -0.00974906	 -0.00070705	
198812	 -0.02431808	  0.00104289	 -0.04442614	
198901	  0.01842500	  0.07418553	 -0.00066201	
198902	 -0.00261030	  0.01242629	 -0.00370499	
198903	  0.00049190	  0.00804540	 -0.01005239	
198904	 -0.02148396	 -0.00267520	 -0.01942944	
198905	  0.04337706	  0.04857621	 -0.03793897	
198906	 -0.00150094	  0.00182166	  0.07322710	
198907	  0.01777991	  0.02630891	  0.03174884	
198908	 -0.08467239	 -0.05271878	  0.00711113	
198909	  0.02786316	  0.01548559	 -0.04838182	
198910	 -0.15749531	 -0.11270080	  0.02414736	
198911	 -0.00979964	  0.01525683	 -0.02475016	
198912	 -0.02131812	  0.00704117	  0.01943802	
199001	 -0.02371547	 -0.00543028	 -0.03403647	
199002	 -0.00493618	  0.02573552	 -0.02993156	
199003	 -0.02227970	  0.03524336	 -0.02618451	
199004	  0.00903327	  0.00796912	  0.05838816	
199005	  0.01200611	  0.01195315	 -0.00653357	
199006	  0.00178264	 -0.00253497	  0.02597323	
199007	 -0.02635311	 -0.01488348	  0.05079944	
199008	  0.02512102	  0.00413895	  0.04516347	
199009	 -0.01568082	  0.05895422	  0.01963880	
199010	  0.05201194	  0.04852411	 -0.01307316	
199011	  0.02180100	  0.00899152	 -0.01186456	
199012	 -0.05574597	 -0.02781616	 -0.03435371	
199101	  0.03895971	  0.02254787	 -0.09480416	
199102	 -0.02117548	 -0.03702784	 -0.01976099	
199103	 -0.02611774	 -0.02367953	 -0.00719494	
199104	  0.00646525	  0.04414870	  0.01658207	
199105	 -0.00602298	  0.00017082	 -0.01043347	
199106	  0.04170756	  0.05048827	  0.02998807	
199107	 -0.00135326	  0.00422094	  0.01557791	
199108	 -0.01695233	 -0.01958249	 -0.01699254	
199109	 -0.01442521	  0.01706887	  0.01170763	
199110	 -0.02169450	  0.02010203	  0.02183811	
199111	  0.02615505	 -0.00294469	  0.04312706	
199112	 -0.05322488	 -0.07172515	 -0.04932854	
199201	 -0.06539798	 -0.04118818	 -0.07748136	
199202	 -0.03882487	  0.01102907	 -0.04885885	
199203	 -0.03465568	  0.02068554	 -0.00085337	
199204	  0.03518324	  0.04494446	 -0.00461487	
199205	  0.00132677	  0.05165945	 -0.00157019	
199206	  0.06758642	  0.00871503	  0.01939018	
199207	 -0.05001814	 -0.04883316	  0.02428208	
199208	 -0.00621343	 -0.00088722	  0.04932559	
199209	  0.01457686	  0.03294983	 -0.02176638	
199210	 -0.05938540	 -0.05315446	 -0.01951491	
199211	  0.00064767	  0.03239460	 -0.05071980	
199212	  0.00997473	  0.02311990	 -0.03053146	
199301	  0.01066849	  0.04173489	 -0.00898190	
199302	 -0.03033735	 -0.00947454	  0.06623622	
199303	 -0.03524115	 -0.00649682	 -0.03846259	
199304	  0.00905305	  0.03744065	 -0.01728532	
199305	 -0.01625729	  0.00959018	  0.04146819	
199306	 -0.01856489	  0.01002424	 -0.03527159	
199307	 -0.01795921	  0.00903138	 -0.01283928	
199308	  0.04142461	  0.02550530	  0.01799178	
199309	  0.02295099	  0.03824104	 -0.07830297	
