YYYYMM,MKTRF,SMB,MGMT,PERF,RF
198610,0.046600,-0.015739882,-0.022076014,0.0238311825,0.00460
198611,0.011700,-0.017335783,0.0189398476,0.0359542807,0.00390
198612,-0.032700,0.0080657735,0.0108982721,0.0068560795,0.00490
198701,0.124700,-0.008342698,-0.001572061,0.0477885607,0.00420
198702,0.043900,0.0410937591,-0.038049769,0.0161073441,0.00430
198703,0.016400,0.0128578362,0.0361144727,0.0146814924,0.00470
198704,-0.021100,-0.014922835,0.0223548274,0.0236403233,0.00440
198705,0.001100,-0.001501908,0.0114063295,0.0079356289,0.00380
198706,0.039400,-0.014832032,0.0125285339,-0.008937013,0.00480
198707,0.038500,-0.012281043,0.010126748,0.0197188922,0.00460
198708,0.035200,0.006141146,-0.008078316,0.0093790185,0.00470
198709,-0.025900,0.005364806,0.0238472532,0.0066858373,0.00450
198710,-0.232400,-0.080900856,0.0730073652,-0.017620696,0.00600
198711,-0.077700,0.0255628392,0.0159004434,-0.008764053,0.00350
198712,0.068100,0.025055389,-0.054848844,0.0665697397,0.00390
198801,0.042100,-0.008853171,0.0301041572,-0.085058548,0.00290
198802,0.047500,0.0495884937,-0.020792197,0.0174141561,0.00460
198803,-0.022700,0.0663814346,0.0119552018,0.0184847326,0.00440
198804,0.005600,0.0204892602,0.009476627,0.0159085516,0.00460
198805,-0.002900,-0.022837303,0.0224684454,-0.029915416,0.00510
198806,0.047900,0.0174201176,-0.035557635,-0.00284758,0.00490
198807,-0.012500,0.0042207113,0.0267654765,-0.026359095,0.00510
198808,-0.033100,0.0134199165,0.0282468228,-0.033439472,0.00590
198809,0.033000,-0.008760101,0.0049311569,0.0010747616,0.00620
198810,0.011500,-0.026290196,0.0241660636,0.0017353843,0.00610
198811,-0.022900,-0.004376361,0.0129018078,0.005063749,0.00570
198812,0.014900,0.0267647403,-0.018694401,0.0326552113,0.00630
198901,0.061000,-0.019182229,-0.002662299,-0.009263578,0.00550
198902,-0.022500,0.0356578882,0.0101993813,-0.004617771,0.00610
198903,0.015700,-0.007772573,0.013435034,-0.010578818,0.00670
198904,0.043300,-0.008144918,-0.01927159,0.018710873,0.00670
198905,0.033500,-0.003741565,-0.012464987,0.0102475758,0.00790
198906,-0.013500,-0.014673954,0.0233439828,-0.028172123,0.00710
198907,0.072000,-0.036950874,0.0046137314,0.0368573519,0.00700
198908,0.014400,0.0089584703,-0.005668114,-0.011646264,0.00740
198909,-0.007600,0.0153180976,0.0087108124,0.0148221396,0.00650
198910,-0.036700,-0.01838576,0.006693426,0.0461567506,0.00680
198911,0.010300,-0.009165066,0.0118771365,0.0271234268,0.00690
198912,0.011600,-0.009333341,0.014751352,0.0324780477,0.00610
199001,-0.078500,-0.012261275,0.0028783928,0.0158851531,0.00570
199002,0.011100,0.0178596231,-0.015959237,-0.008009212,0.00570
199003,0.018300,0.0194536327,-0.021026174,0.055525021,0.00640
199004,-0.033600,-0.001604985,-0.00783876,0.0389011174,0.00690
199005,0.084200,-0.013255462,-0.039954206,0.0341381771,0.00680
199006,-0.010900,0.0212907286,-0.013590717,0.0375605526,0.00630
199007,-0.019000,-0.012654164,0.0292177607,0.0389567961,0.00680
199008,-0.101500,-0.037807523,0.0486614886,0.0085630016,0.00660
199009,-0.061200,-0.025132296,0.0444727851,0.059956385,0.00600
199010,-0.019200,-0.057884665,0.0040611526,0.0709840771,0.00680
199011,0.063500,0.0172820288,-0.045650904,-0.043978447,0.00570
199012,0.024600,0.0189041684,-0.022225514,0.0089007721,0.00600
199101,0.046900,0.0375442354,-0.031420812,-0.003612491,0.00520
199102,0.071900,0.0374538398,-0.007954193,-0.036773808,0.00480
199103,0.026500,0.0198128787,-0.034920539,0.0093081605,0.00440
199104,-0.002800,-0.001100565,0.0123201225,-0.010833346,0.00530
199105,0.036500,0.0116348794,-0.003307925,-0.012594495,0.00470
199106,-0.049400,0.0029081501,0.023409824,0.0052906024,0.00420
199107,0.042400,-0.001593222,-0.015353269,0.0383931183,0.00490
199108,0.023200,0.0168966939,-0.020748803,0.0178746432,0.00460
199109,-0.015900,0.015519216,0.0050322987,0.0024265347,0.00460
199110,0.012900,0.0078798106,0.0180783622,0.0174610645,0.00420
199111,-0.041900,-0.003374659,-0.019161673,0.0403719311,0.00390
199112,0.108400,-0.013166779,-0.028602044,0.0703854157,0.00380
199201,-0.005900,0.0736387915,0.005305709,-0.050489782,0.00340
199202,0.010900,0.0157447839,0.0236646105,-0.026088665,0.00280
199203,-0.026600,-0.00626411,0.0445753728,-0.013113582,0.00340
199204,0.010700,-0.053117869,0.0635639688,-0.033343678,0.00320
199205,0.003000,0.0056653401,0.0059465706,-0.007132186,0.00280
199206,-0.023400,-0.012728779,0.0194214481,-0.024620915,0.00320
199207,0.037700,-0.002674301,0.0026967511,0.0170295562,0.00310
199208,-0.023800,0.0013757343,0.0057292256,0.0393310178,0.00260
199209,0.011900,-0.000713651,-0.001345332,0.0128480549,0.00260
199210,0.010200,0.0180553976,-0.031257971,0.0210839989,0.00230
199211,0.041300,0.0227629713,-0.037025931,-0.010526126,0.00230
199212,0.015300,0.0129098722,0.0093034663,-0.009657652,0.00280
199301,0.009300,0.0257460153,0.0225999568,-0.024731901,0.00230
199302,0.001200,-0.026370835,0.0541468817,-0.036017988,0.00220
199303,0.023000,0.0074320443,0.0078083311,0.0052804937,0.00250
199304,-0.030500,-0.004543899,0.0373175735,-0.030608181,0.00240
199305,0.028900,0.0127829153,-0.023365176,0.0227139906,0.00220
199306,0.003100,-0.012184713,0.016843268,-0.02284056,0.00250
199307,-0.003400,0.0035074752,0.038173704,-0.022555328,0.00240
199308,0.037100,0.0095094164,0.0005136919,0.0138961096,0.00250
199309,-0.001200,0.0170606168,-0.003870027,0.028140248,0.00260
199310,0.014100,0.0092422849,0.002417123,-0.001406197,0.00220
199311,-0.018900,-0.003304701,-0.006283207,-0.007526335,0.00250
199312,0.016500,0.0199854785,0.0019904141,0.0216041425,0.00230
199401,0.028700,-0.012416461,-0.002242487,-0.024575845,0.00250
199402,-0.025500,0.0272359817,-0.011889836,0.0319969069,0.00210
