month,permno,ret,me_lag1,me_now,max,beta,ivol,bm,mom,rev,illiq,ce,roe,ia,sic
201910,14593,0.110684,995151566920.0,1105306556967.35,0.0216122,1.6020975175750876,0.012414341322896021,-2.329708315724227,-0.06005705081384605,0.110684,1.626568332367537e-06,-0.09309316543344383,0.5534009463341173,0.0,3663
201911,14593,0.077424,1105306556967.35,1187462571250.0,0.0165466,,,-2.4014043295930825,0.040227108456202476,0.077424,1.2314755642098614e-06,-0.18202055504618442,0.5534009463341173,0.0,3663
201912,14593,0.098784,1187462571250.0,1287643166500.4102,0.0174526,1.5782187794356932,0.01120869519571606,-2.482399136766191,0.410199313465629,0.098784,1.3141142473349513e-06,-0.34429968773239805,0.5534009463341173,0.0,3663
202001,14593,0.05401,1287643166500.4102,1354254858554.8,0.022928399999999998,1.5028061026141726,0.010024521575815466,-2.5328369752950346,0.7201167721927402,0.05401,1.190461653129139e-06,-0.3424241271021292,0.5534009463341173,0.0,3663
202002,14593,-0.11431,1354254858554.8,1196081169045.2,0.0197612,,,-2.408636112430746,0.7912425934195653,-0.11431,1.458173812006024e-06,-0.2187830372056226,0.5534009463341173,0.0,3663
202003,14593,-0.069762,1196081169045.2,1099546610990.13,0.08757580000000001,1.167033180233802,0.011649249084434906,-2.431163902373949,0.807203789304457,-0.069762,2.6754989284126185e-06,-0.1521852755096624,0.5136604910154035,-0.07439742976279992,3663
202004,14593,0.155374,1099546610990.13,1273427579656.65,0.045652000000000005,1.145726336394812,0.0119266134817254,-2.5779781260114607,0.45905596052332753,0.155374,2.2119832868476787e-06,-0.1628654394254032,0.5136604910154035,-0.07439742976279992,3663
202005,14593,0.084956,1273427579656.65,1378058469900.0,0.0194982,,,-2.6569415820411697,0.28476244524542893,0.084956,1.0259157263081788e-06,-0.300945914048538,0.5136604910154035,-0.07439742976279992,3663
202006,14593,0.147386,1378058469900.0,1562780904360.61,0.0276906,1.0889118879134485,0.012093288871663789,-2.782732844623874,0.6939865513434778,0.147386,1.2820477546489443e-06,-0.3099923989312028,0.5714876716862486,-0.07439742976279992,3663
202007,14593,0.165132,1562780904360.61,1817315518116.3398,0.0399006,1.0961824168934546,0.013669437848517431,-2.933626401537008,0.6257142717631583,0.165132,1.1275731085929634e-06,-0.38379193958333824,0.5714876716862486,-0.07439742976279992,3663
202008,14593,0.216309,1817315518116.3398,2206911074414.64,0.0357532,1.0822277575318446,0.014337864738123533,-3.127859813308614,0.732934281022527,0.216309,7.286464062506718e-07,-0.6472960523385518,0.5714876716862486,-0.07439742976279992,3663
202009,14593,-0.102526,2206911074414.64,1966078923030.0,0.035503400000000004,1.1163313296696153,0.015514933279116948,-3.012307144244522,1.053117339023966,-0.102526,1.3430241114272362e-06,-0.40789075495863325,0.5714876716862486,0.0,3663
202010,14593,-0.060012,1966078923030.0,1850816165720.0,0.033144999999999994,,,-2.9518926918254644,1.3274124316713003,-0.060012,1.2653464529710573e-06,-0.25227113937299495,0.5714876716862486,0.0,3663
202011,14593,0.09549,1850816165720.0,2024064528100.0,0.028627600000000003,1.123019056760252,0.016766010239494304,-3.0413736117522823,0.8806358466510447,0.09549,1.032503780833118e-06,-0.26412788364624395,0.5714876716862486,0.0,3663
202012,14593,0.114574,2024064528100.0,2232278767470.0,0.0315166,1.1258184076931135,0.017146514319657448,-3.139288911903058,0.6407422966462801,0.114574,9.141604912387872e-07,-0.2730370450258961,0.5714876716862486,0.0,3663
